SOCBP,R0,R1,R2,Tau1,Tau2,C1,C2
0.0437118352691983,0.00405130650448229,0.00235698840611736,0.00345794315132091,17.3844526755328,460.506319678115,7375.70563792885,133173.479009395
0.0537118352691983,0.00404268086472315,0.00229837908088993,0.00326655190122756,17.2676930261539,445.862365831482,7512.98737868246,136493.27465574
0.0637118352691983,0.00403426955703368,0.00224373909137249,0.00309086689743975,17.1610693001893,431.831096683447,7648.4246168265,139711.967875791
0.0737118352691983,0.00402606726766179,0.00219297795541753,0.00293049053808818,17.0643168094919,418.402786606304,7781.34443501187,142775.682490095
0.0837118352691983,0.00401806868285534,0.00214600519087755,0.00278502522130353,16.9771708659147,405.567709972348,7911.05768899483,145624.429850772
0.0937118352691983,0.00401026848886223,0.00210273031560505,0.0026540733452165,16.8993667813104,393.316141153871,8036.86837817228,148193.395582965
0.103711835269198,0.00400266137193034,0.00206306284745252,0.00253723730795777,16.8306398675321,381.63835452317,8158.08393249613,150414.923084334
0.113711835269198,0.00399524201830754,0.00202691230427247,0.00243411950765803,16.7707254364327,370.524624452536,8274.02616338269,152221.213168384
0.123711835269198,0.00398800511424172,0.00199418820391739,0.00234432234244798,16.7193587998651,359.965225314266,8384.0425728231,153547.666545883
0.133711835269198,0.00398094534598077,0.00196480006423979,0.0022674482104583,16.6762752696821,349.950431480652,8487.51767327248,154336.681149564
0.143711835269198,0.00397405739977256,0.00193865740309215,0.00220309950981968,16.6412101577367,340.470517323989,8583.88394524688,154541.59732978
0.153711835269198,0.00396733596186498,0.00191566973832698,0.00215087863866281,16.6138987758818,331.515757216572,8672.6320531593,154130.387115971
0.163711835269198,0.00396077571850592,0.00189574658779677,0.00211038799511837,16.5940764359704,323.076425530693,8753.31995467598,153088.638808605
0.173711835269198,0.00395437135594324,0.00187879746935403,0.00208122997731707,16.5814784498552,315.142796638648,8825.58057498146,151421.419099922
0.183711835269198,0.00394811756042485,0.00186473190085125,0.00206300698338958,16.5758401293893,307.70514491273,8889.12777317881,149153.709798481
0.193711835269198,0.00394200901819862,0.00185345940014092,0.0020553214114666,16.5768967864256,300.753744725234,8943.76040023601,146329.300637523
0.203711835269198,0.00393604041551242,0.00184488948507556,0.00205777565967881,16.5843837328169,294.278870448453,8989.36433156464,143008.237591062
0.213711835269198,0.00393020643861416,0.00183893167350765,0.00206997212615691,16.5980362804162,288.270796454682,9025.91244663073,139263.129590968
0.223711835269198,0.0039245017737517,0.0018354954832897,0.00209151320903158,16.6175897410764,282.719797116214,9053.46261669532,135174.760501331
0.233711835269198,0.00391892110717294,0.00183449043227419,0.00212200130643352,16.6427794266504,277.616146805345,9072.15384384345,130827.509843497
0.243711835269198,0.00391345912512574,0.00183582603831364,0.0021610388164934,16.6733406489911,272.950119894368,9082.2007646797,126305.051908909
0.253711835269198,0.00390811051385801,0.00183941181926054,0.00220822813734193,16.7090087199514,268.711990755577,9083.88678652102,121686.698132118
0.263711835269198,0.00390286995961761,0.00184515729296738,0.00226317166710979,16.7495189513843,264.892033761266,9077.55616023807,117044.604972255
0.273711835269198,0.00389773214865244,0.00185297197728667,0.00232547180392767,16.7946066551426,261.480523283729,9063.60531136318,112441.9237602
0.283711835269198,0.00389269176721037,0.0018627653900709,0.00239473094592626,16.8440071430792,258.467733695261,9042.47375051249,107931.846846907
0.293711835269198,0.00388774350153928,0.00187444704917257,0.00247055149123624,16.8974557270472,255.843939368156,9014.63486765667,103557.420388002
0.303711835269198,0.00388288203788707,0.00188792647244417,0.00255253583798832,16.9546877188993,253.599414674708,8980.5868853299,99351.9506760666
0.313711835269198,0.00387810206250162,0.00190311317773822,0.00264028638431317,17.0154384304885,251.72443398721,8940.84420702228,95339.8220294547
0.323711835269198,0.00387339826163079,0.0019199166829072,0.00273340552834148,17.0794431736677,250.209271677957,8895.92935241622,91537.5596791793
0.333711835269198,0.00386876532152249,0.00193824650580361,0.00283149566820395,17.1464372602899,249.044202119243,8846.36562426348,87955.0002198008
0.343711835269198,0.00386419792842459,0.00195801216427996,0.00293415920203126,17.2161560022079,248.219499683363,8792.67060556744,84596.4661738617
0.353711835269198,0.00385969076858497,0.00197912317618873,0.00304099852795411,17.2883347112746,247.72543874261,8735.35054274255,81461.8739421987
0.363711835269198,0.00385523852825151,0.00200148905938243,0.00315161604410318,17.362708699343,247.552293669278,8674.89563230504,78547.732403019
0.373711835269198,0.00385083589367211,0.00202501933171356,0.00326561414860916,17.4390132782659,247.690338835662,8611.77619648161,75848.0112970953
0.383711835269198,0.00384647755109464,0.00204962351103461,0.00338259523960274,17.5169837598964,248.129848614055,8546.43970738515,73354.8743015425
0.393711835269198,0.00384215818676699,0.00207521111519808,0.00350216171521461,17.5963554560872,248.861097376752,8479.30860008312,71059.2821272681
0.403711835269198,0.00383787248693703,0.00210169166205647,0.00362391597357546,17.6768636786913,249.874359496047,8410.77880158442,68951.477163946
0.413711835269198,0.00383361513785265,0.00212897466946228,0.00374746041281598,17.7582437395616,251.159909344234,8341.21889484334,67021.3642511846
0.423711835269198,0.00382938082576174,0.00215696965526801,0.00387239743106685,17.8402309505511,252.708021293608,8270.96983352528,65258.8030521407
0.433711835269198,0.00382516423691217,0.00218558613732615,0.00399832942645877,17.9225606235126,254.508969716461,8200.3451236377,63653.8270289233
0.443711835269198,0.00382096005755183,0.0022147336334892,0.00412485879712243,18.0049680702991,256.553028985088,8129.631391353,62196.8027521485
0.453711835269198,0.0038167629739286,0.00224432166160966,0.00425158794118851,18.0871886027634,258.830473471785,8059.08926164844,60878.5416301255
0.463711835269198,0.00381256767229037,0.00227425973954003,0.00437811925678771,18.1689575327585,261.331577548843,7988.95447906631,59690.3743870573
0.473711835269198,0.00380836883888502,0.00230445738513281,0.00450405514205071,18.2500101721373,264.046615588559,7919.43920936751,58624.1969205416
0.483711835269198,0.00380416115996042,0.00233482411624049,0.0046289979951082,18.3300818327527,266.965861963225,7850.73346863814,57672.4946187808
0.493711835269198,0.00379993932176446,0.00236526945071558,0.00475255021409087,18.4089078264576,270.079591045136,7783.00663414405,56828.350859792
0.503711835269198,0.00379569801054504,0.00239570290641057,0.00487431419712942,18.486223465105,273.378077206586,7716.40899864437,56085.4442595399
0.513711835269198,0.00379143191255002,0.00242603400117795,0.00499389234235452,18.5617640605476,276.851594819869,7651.07333678548,55438.0382756387
0.523711835269198,0.00378713571402729,0.00245617225287023,0.00511088704789687,18.6352649246385,280.490418257279,7587.11645849013,54880.9659905712
0.533711835269198,0.00378280410122473,0.00248602717933991,0.00522490071188716,18.7064613692306,284.284821891111,7524.64072987229,54409.6122715471
0.543711835269198,0.00377843176039023,0.00251550829843948,0.00533553573245608,18.7750887061768,288.225080093658,7463.73554713536,54019.8950108016
0.553711835269198,0.00377401337777167,0.00254452512802144,0.00544239450773431,18.8408822473299,292.301467237215,7404.47875316525,53708.2467692885
0.563711835269198,0.00376954363961693,0.0025729871859383,0.00554507943585255,18.9035773045429,296.504257694075,7346.93799015144,53471.5978597136
0.573711835269198,0.00376501723217389,0.00260080399004254,0.00564319291494149,18.9629091896687,300.823725836533,7291.17198461334,53307.3616959013
0.583711835269198,0.00376042884169044,0.00262788505818666,0.00573633734313181,19.0186132145603,305.250146036883,7237.23176373773,53213.4230917161
0.593711835269198,0.00375577315441446,0.00265413990822317,0.0058241151185542,19.0704246910705,309.773792667419,7185.16180401254,53188.1301041864
