SOC,OCV
0,3.01329999999974
0.01,3.3526644681734
0.02,3.46824293265694
0.03,3.5478330802581
0.04,3.59919189667928
0.05,3.64266239621806
0.06,3.67538308025802
0.07,3.68726503228771
0.08,3.69255211808074
0.09,3.69786937131045
0.1,3.69581026752665
0.11,3.693173032747
0.12,3.69992389483436
0.13,3.70406191374374
0.14,3.70818901937262
0.15,3.71709482011138
0.16,3.72109033210218
0.17,3.72783365498263
0.18,3.73409378413346
0.19,3.7364764386533
0.2,3.74205962177212
0.21,3.74861215498121
0.22,3.74752276660563
0.23,3.75659403966601
0.24,3.75712320295336
0.25,3.76168681965048
0.26,3.76540414391124
0.27,3.76691395018457
0.28,3.76967569003726
0.29,3.77584144972225
0.3,3.77514343634836
0.31,3.7818
0.32,3.77894788191891
0.33,3.78014109132835
0.34,3.78147080811883
0.35,3.78497548431708
0.36,3.78567126937305
0.37,3.79006606826565
0.38,3.79188427951983
0.39,3.79354558302535
0.4,3.79702872693759
0.41,3.79310481088565
0.42,3.79827686439116
0.43,3.80536122555333
0.44,3.80481289298888
0.45,3.8098359432657
0.46,3.81272787546122
0.47,3.81315043634683
0.48,3.8211864649447
0.49,3.81823881365325
0.5,3.82509953874531
0.51,3.82202762361616
0.52,3.82625027306231
0.53,3.83402377767494
0.54,3.83747224169809
0.55,3.83985152214072
0.56,3.84822025830268
0.57,3.85004536992557
0.58,3.85589696309999
0.59,3.85932948985257
0.6,3.86829903136501
0.61,3.87521462776728
0.62,3.88176777121765
0.63,3.89542911024
0.64,3.90418886346925
0.65,3.91041793819246
0.66,3.92325048247224
0.67,3.92912346909594
0.68,3.93106809409595
0.69,3.93784765498174
0.7,3.94531832103306
0.71,3.95554850645767
0.72,3.96299613284134
0.73,3.96190812453872
0.74,3.96357145387453
0.75,3.97513483625461
0.76,3.97259203505535
0.77,3.97809326245395
0.78,3.98295387084862
0.79,3.98771375507379
0.8,3.99577321033194
0.81,4.0064102495389
0.82,4.02430879889287
0.83,4.03926960562723
0.84,4.05814019372693
0.85,4.07130199031367
0.86,4.07844801660522
0.87,4.08357147509228
0.88,4.09083204428045
0.89,4.0914
0.9,4.10243006457565
0.91,4.11475814944651
0.92,4.12167578228781
0.93,4.13435650322878
0.94,4.14146201660517
0.95,4.14366244234318
0.96,4.1643238487085
0.97,4.16765400553506
0.98,4.17545306180812
0.99,4.18350895479705
1,4.1901
